uid,company,url,color,industry,location,,,,
116,deutsche-post,logo-deutsche-post.gif,yellow,logistics,global,,,,
117,deutsche-telekom,logo-deutsche-telekom.gif,gray,telecommunications,,,,,
118,deutsche-telekom,logo-deutsche-telekom.gif,pink,telecommunications,,,,,
119,dewalk,DeWALT-logo-125A8BC263-seeklogo.com.gif,yellow,tools,,,,,
120,dewalt,DeWALT-logo-125A8BC263-seeklogo.com.gif,black,tools,na,,,,
121,dexia,logo-dexia-group.gif,blue,,,,,,
122,dexia,logo-dexia-group.gif,white,,,,,,
123,diesel,Diesel-logo-870652EC80-seeklogo.com.gif,red,fashion,,,,,
124,diesel,Disney-logo-847839C4FF-seeklogo.com.gif,white,fashion,,,,,
125,disney,disney-logo-847839C4FF-seeklogo.com.gif,black,entertainment,,,,,
126,dunlop,Dunlop_Tires-logo-6904E75C20-seeklogo.com.gif,black,automotive,,,,,
127,dunlop,dunlop_Tires-logo-6904E75C20-seeklogo.com.gif,red,automotive,,,,,
128,electricite de france,logo-electricite-de-france.gif,blue,,,,,,
129,electricite de france,logo-electricite-de-france.gif,orange,,,,,,
130,eni,logo-eni.gif,black,,,,,,
131,eni,logo-eni.gif,red,,,,,,
132,eni,logo-eni.gif,yellow,,,,,,
133,eon,logo-eon.gif,red,,,,,,
134,epson,Epson-logo-2A4B23D462-seeklogo.com.gif,blue,electronics,,,,,
135,exxon,logo-exxonmobil.gif,red,energy,,,,,
136,ferrari,FERRARI_ESCUDO-logo-7935CF173C-seeklogo.com.gif,black,automotive,,,,,
137,ferrari,feRRARI_ESCUDO-logo-7935CF173C-seeklogo.com.gif,green,automotive,,,,,
138,ferrari,feRRARI_ESCUDO-logo-7935CF173C-seeklogo.com.gif,red,automotive,,,,,
139,ferrari,feRRARI_ESCUDO-logo-7935CF173C-seeklogo.com.gif,yellow,automotive,,,,,
140,fiat,FIAT_2007_OLD-logo-4195DE7DDB-seeklogo.com.gif,blue,automotive,,,,,
141,fiat,fiaT_2007_OLD-logo-4195DE7DDB-seeklogo.com.gif,red,automotive,,,,,
142,ford,logo-ford.jpg,blue,automotive,,,,,
143,france-telecom,logo-france-telecom.gif,blue,telecommunications,eu,,,,
144,france-telecom,logo-france-telecom.gif,orange,telecommunications,eu,,,,
145,france-telecom,logo-france-telecom.gif,red,telecommunications,eu,,,,
146,gazprom,logo-gazprom.gif,blue,,,,,,
147,ge,logo-general-electric.gif,blue,,global,,,,
148,ge,logo-general-electric.gif,white,,global,,,,
149,gm,logo-general-motors.jpg,blue,automotive,global,,,,
150,gm,logo-general-motors.jpg,white,automotive,global,,,,
151,goldman sachs,logo-goldman-sachs.gif,blue,financial,,,,,
152,goldman sachs,logo-goldman-sachs.gif,white,financial,,,,,
153,gucci,Gucci-logo-33C6E21D22-seeklogo.com.gif,black,fashion,,,,,
154,h&m,H_and_M-logo-9C22DB457C-seeklogo.com.gif,red,fashion,,,,,
155,harley davidson,Harley-Davidson-logo-752FD417A4-seeklogo.com.gif,black,automotive,,,,,
156,harley davidson,harley-Davidson-logo-752FD417A4-seeklogo.com.gif,white,automotive,,,,,
157,harley davidson,harley-Davidson-logo-752FD417A4-seeklogo.com.gif,yellow,automotive,,,,,
158,hitachi,logo-hitachi.gif,red,,,,,,
159,hitachi,logo-hitachi.gif,white,,,,,,
160,hbos,logo-hbos.gif,blue,,,,,,
161,hermes,Hermes-logo-C6741CE724-seeklogo.com.gif,orange,fashion,,,,,
162,hollister-brown,Hollister_Co_-logo-F902B22E17-seeklogo.com.gif,brown,fashion,,,,,
163,home-depot-orange,logo-home-depot.gif,orange,consumer goods,na,,,,
164,honda-red,logo-honda.gif,red,automotive,,,,,
165,hp-blue,Hewlett_Packard-logo-FDCC4C4359-seeklogo.com.gif,blue,electronics,global,,,,
166,hp-blue,hewlett_Packard-logo-FDCC4C4359-seeklogo.com.gif,blue,electronics,global,,,,
167,hsbc-black,logo-hsbc-holdings.gif,black,financial,global,,,,
168,hsbc-Gray,logo-hsbc-holdings.gif,gray,financial,global,,,,
169,hsbc-orange,logo-hsbc-holdings.gif,orange,financial,global,,,,
170,hyundai-blue,Hyundai-logo-0D1F87993B-seeklogo.com.gif,blue,automotive,global,,,,
171,hyundai-blue,hyundai-logo-0D1F87993B-seeklogo.com.gif,blue,automotive,global,,,,
172,ibm-blue,logo-ibm.gif,blue,electronics,global,,,,
173,ing-blue,logo-ing-group.gif,blue,financial,global,,,,
174,ing-orange,logo-ing-group.gif,orange,financial,global,,,,
175,jordan-black,Michael_Jordan-logo-404ADAA9F0-seeklogo.com.gif,black,activewear,global,,,,
176,kawasaki-Black,Kawasaki-logo-C828517FA4-seeklogo.com.gif,black,automotive,global,,,,
177,kia-red,KIA-logo-3251433B43-seeklogo.com.gif,red,automotive,global,,,,
178,kroger-blue,logo-kroger.gif,blue,retail,,,,,
179,kroger-red,logo-kroger.gif,red,retail,,,,,
180,lacoste-green,Lacoste-logo-35C4FDA0D0-seeklogo.com.gif,green,fashion,,,,,
181,lacoste-red,lacoste-logo-35C4FDA0D0-seeklogo.com.gif,red,fashion,,,,,
182,lenovo-blue,Lenovo-logo-C637A0E21A-seeklogo.com.gif,blue,technology,,,,,
183,levis-red,Levis-logo-F4CE03B298-seeklogo.com.gif,red,fashion,,,,,
184,lg-Black,LG-logo-F03F0D557D-seeklogo.com.gif,black,electronics,,,,,
185,lg-gray,logo-lg.gif,gray,electronics,,,,,
186,lg-red,logo-lg.gif,red,electronics,,,,,
187,lg-white,logo-lg.gif,white,electronics,,,,,
188,lukoil-red,logo-lukoil.gif,red,energy,,,,,
189,lukoil-white,logo-lukoil.gif,white,energy,,,,,
190,mc-red,MasterCard-logo-4C5D228602-seeklogo.com.gif,red,financial,,,,,
191,mc-white,masterCard-logo-4C5D228602-seeklogo.com.gif,white,financial,,,,,
192,mc-yellow,MasterCard-logo-4C5D228602-seeklogo.com.gif,yellow,financial,,,,,
193,mckesson-blue,logo-mckesson.gif,blue,,,,,,
194,mckesson-orange,logo-mckesson.gif,orange,,,,,,
195,mercedes-Black,Mercedes-Benz-logo-1B4948D9AA-seeklogo.com.gif,black,automotive,,,,,
196,metrogroup-gray,logo-metro-group.gif,gray,,,,,,
197,metrogroup-red,logo-metro-group.gif,red,,,,,,
198,mitsubish-Black,Mitsubishi-logo-67EA251D5A-seeklogo.com.gif,black,automotive,,,,,
199,mitsubish-red,mitsubishi-logo-67EA251D5A-seeklogo.com.gif,red,automotive,,,,,
200,mobil-Black,Mobil_1-logo-EF4827C59A-seeklogo.com.gif,black,energy,global,,,,
201,mobil-blue,Mobil_1-logo-EF4827C59A-seeklogo.com.gif,blue,energy,global,,,,
202,mobil-red,Mobil_1-logo-EF4827C59A-seeklogo.com.gif,red,energy,global,,,,
203,monster-Black,monster-energy-logo-logo-9C24EE13B7-seeklogo.com.gif,black,beverage,,,,,
204,monster-green,monster-energy-logo-logo-9C24EE13B7-seeklogo.com.gif,green,beverage,,,,,
205,morgan stanley,logo-morgan-stanley.gif,black,financial,global,,,,
206,morgan stanley,logo-morgan-stanley.gif,blue,financial,global,,,,
207,morgan stanley,logo-morgan-stanley.gif,gray,financial,global,,,,
