HexNotation,Hue,Saturation,Value,HueSpectrum,ValueSpectrum,SaturationSpectrum
#753C1E,20.77892453,58.38624125,32.34723,Red/Orange,Dark,Medium
#734730,20.72577747,41.34027706,34.941107,Red/Orange,Dark,Medium
#B6AEA7,26.48531616,9.0564061,71.688634,Red/Orange,light,Dullest
#8D4A31,15.94210525,48.17720573,39.37896,Red/Orange,Dark,Medium
#573C39,5.645365588,20.7776729,28.414217,Red,Dark,Dullest
#005A7F,197.5773623,100,35.523208,Green/Blue,Dark,Brightest
#674F2F,34.12099022,37.10197798,35.506366,Orange,Dark,Dull
#6EBDBE,180.8683043,38.27922074,71.976869,Green/Blue,light,Dull
#BE7443,24.00673314,49.03521504,56.181932,Red/Orange,Mid-Value,Medium
#F26279,350.3638831,85.59313873,60.931614,Red/Purple,Mid-Value,Brightest
#4D2A83,263.8095296,51.33733995,26.536553,Blue,Dark,Medium
#9D7A5B,28.4074952,26.28393823,54.140835,Red/Orange,Mid-Value,Dull
#994F36,15.25731839,48.02889218,42.419621,Red/Orange,Mid-Value,Medium
#D18E5A,26.17003193,56.69093843,64.936278,Red/Orange,light,Medium
#DDB5BE,346.4491327,36.73568833,77.642123,Red/Purple,light,Dull
#723824,15.37419797,51.85274234,30.83488,Red/Orange,Dark,Medium
#6E5699,261.2762514,27.78281635,41.841096,Blue,Mid-Value,Dull
#BF5B31,17.67834328,58.89049622,50.679258,Red/Orange,Mid-Value,Medium
#9C806C,24.8646988,19.64374294,55.924777,Red/Orange,Mid-Value,Dullest
#8C6750,22.49562061,26.76541879,46.819682,Red/Orange,Mid-Value,Dull
#743D2A,15.83651605,46.89420089,32.593873,Red/Orange,Dark,Medium
#C06B74,353.3175998,40.60152517,55.210349,Red/Purple,Mid-Value,Dull
#A68775,22.28824153,21.60871197,58.928832,Red/Orange,Mid-Value,Dull
#8C061D,349.7617055,91.16239074,29.025781,Red/Purple,Dark,Brightest
#524B44,28.95303873,9.356998754,32.393549,Red/Orange,Dark,Dullest
#859B99,174.6460883,9.7888803,62.45295,Green/Blue,light,Dullest
#F87F7B,1.785794652,91.16889552,67.134675,Red,light,Brightest
#9A5C94,306.1434898,25.16281706,48.020918,Purple,Mid-Value,Dull
#C04C3E,6.222840625,51.11927603,48.095003,Red,Mid-Value,Medium
#F4DD9C,44.73390424,80.52035927,88.867344,Orange,Lightest,Bright
#7A8A6F,94.79524944,11.00369692,55.735544,Yellow/Green,Mid-Value,Dullest
#5A3937,4.169344987,24.12991712,28.138482,Red,Dark,Dull
#EDAB8D,18.83539772,73.74103032,75.750184,Red/Orange,light,Bright
#A99890,18.13783605,12.41881523,64.12158,Red/Orange,light,Dullest
#998472,28.04316734,16.3969042,56.851692,Red/Orange,Mid-Value,Dullest
#79675F,19.37650605,12.12675779,45.428623,Red/Orange,Mid-Value,Dullest
#817A6F,38.15115729,7.521943748,51.758706,Orange,Mid-Value,Dullest
#542C6F,276.3598134,43.33673756,26.418151,Purple,Dark,Medium
#FFD594,36.70145707,100,89.229002,Orange,Lightest,Brightest
#525096,241.2745954,30.12457443,37.577286,Blue,Dark,Dull
#8F4F8C,302.1518545,28.62486647,43.423792,Purple,Mid-Value,Dull
#75A6B2,191.5089612,28.59343292,65.417397,Green/Blue,light,Dull
#CB363C,357.7074648,59.01388195,46.714636,Red/Purple,Mid-Value,Medium
#73462D,21.53137421,43.28516338,34.672644,Red/Orange,Dark,Medium
#B0C4AE,114.2979956,15.9895484,77.33809,Yellow/Green,light,Dullest
#80ABB9,195.4474999,29.48201312,67.503977,Green/Blue,light,Dull
#8B4E30,20.34788727,48.68863783,40.079312,Red/Orange,Dark,Medium
#A55C33,21.70796995,52.28552539,47.139945,Red/Orange,Mid-Value,Medium
#8B2F37,354.682566,48.9585281,33.824241,Red/Purple,Dark,Medium
#BEA38C,27.55547477,28.42605158,68.973519,Red/Orange,light,Dull
#6496AF,199.9568316,31.91535555,59.809188,Green/Blue,Mid-Value,Dull
#A9C2DA,209.3360928,40.76176769,77.535766,Green/Blue,light,Dull
#1D4A5F,198.5885638,52.94340398,29.658236,Green/Blue,Dark,Medium
#625247,24.04973655,16.31796439,36.305366,Red/Orange,Dark,Dullest
#F2ACA8,2.969210613,75.41231576,76.935222,Red,light,Bright
#E8C463,43.72311708,74.67450745,80.669258,Orange,light,Bright
#2A524C,170.9950246,32.30890297,32.027714,Green,Dark,Dull
#6D5A4D,23.38990368,17.34635986,39.8946,Red/Orange,Dark,Dullest
#8C6548,26.27715089,32.05330781,46.347866,Red/Orange,Mid-Value,Dull
#00526E,195.5482597,100,30.982445,Green/Blue,Dark,Brightest
#204969,205.8106185,53.36199468,29.943959,Green/Blue,Dark,Medium
#94967A,64.9646807,11.72320838,61.474834,Yellow,light,Dullest
#FFA863,26.64603059,100,77.487106,Red/Orange,light,Brightest
#854383,301.8664823,32.98035135,39.218945,Purple,Dark,Dull
#52466E,257.0924716,21.60731747,32.759828,Blue,Dark,Dull
#757070,356.942812,2.500206789,47.824037,Red/Purple,Mid-Value,Dullest
#7C80B4,235.500173,26.99177985,55.431193,Green/Blue,Mid-Value,Dull
#EE3A98,328.5877004,84.39856199,55.715379,Red/Purple,Mid-Value,Brightest
#1D2F42,210.7110929,37.82546405,19.102598,Green/Blue,Darkest,Dull
#653488,274.4916387,44.52545855,31.988884,Purple,Dark,Medium
#3F2A24,13.50048078,26.73745806,19.596751,Red,Darkest,Dull
#ADB1C4,229.2909932,16.41448617,72.683546,Green/Blue,light,Dullest
#0097AB,187.3018192,100,56.856425,Green/Blue,Mid-Value,Brightest
#99887D,23.84720247,11.95739811,58.220056,Red/Orange,Mid-Value,Dullest
#7E6D5D,28.30925914,15.12070968,47.302129,Red/Orange,Mid-Value,Dullest
#9E958D,28.92468013,7.813752363,62.438982,Red/Orange,light,Dullest
#259D86,168.356868,61.85843161,58.56045,Green,Mid-Value,Bright
#AE937E,25.73721529,23.40291851,62.912599,Red/Orange,light,Dull
#7F9FAA,195.9712982,20.1322842,63.638754,Green/Blue,light,Dullest
#E4A04D,32.86131536,74.17459071,71.070755,Orange,light,Bright
#B7A08D,26.80101834,22.30089421,67.471846,Red/Orange,light,Dull
#B37E9D,325.346059,26.21500666,59.188063,Red/Purple,Mid-Value,Dull
#AC0060,326.5382836,100,36.885578,Red/Purple,Dark,Brightest
#CB9E76,28.08491838,45.31088722,68.490752,Red/Orange,light,Medium
#DE614D,8.522282345,68.88367945,56.871044,Red,Mid-Value,Bright
#557E8F,197.8858376,25.53913065,50.668042,Green/Blue,Mid-Value,Dull
#96B8AE,161.8201995,19.42373522,72.354487,Green,light,Dullest
#EC72B0,329.2289487,76.30657466,64.325738,Red/Purple,light,Bright
#AEA6D1,250.5301038,31.87255055,70.301145,Blue,light,Dull
#97352F,3.483221067,51.91182079,36.832061,Red,Dark,Medium
#71C4CB,184.7077737,46.68173458,74.606395,Green/Blue,light,Medium
#7BC2C4,181.0574902,37.96441576,74.305188,Green/Blue,light,Dull
#31AE8D,163.9824954,55.58060134,64.22519,Green,light,Medium
#9C8A85,13.24232323,10.28934162,59.184454,Red,Mid-Value,Dullest
#998F88,23.85507211,7.835943672,60.197371,Red/Orange,Mid-Value,Dullest
#C4494F,356.6932224,51.58629194,48.542784,Red/Purple,Mid-Value,Medium
#615853,21.63365357,7.793112233,38.399117,Red/Orange,Dark,Dullest
#263344,213.3357719,28.06614269,21.029266,Green/Blue,Dark,Dull
#C2A1C8,289.9507118,26.88543955,70.308769,Purple,light,Dull
#F2D88C,44.73842095,80.29725147,87.07944,Orange,Lightest,Bright
#A55D67,351.2647609,28.98076732,48.210923,Red/Purple,Mid-Value,Dull
#DA6B79,352.5576863,60.21817576,58.930269,Red/Purple,Mid-Value,Medium
#AE6634,24.37703873,53.40895847,50.530349,Red/Orange,Mid-Value,Medium
#A6617C,336.3427592,28.10550175,49.712284,Red/Purple,Mid-Value,Dull
#7D937E,123.1789959,9.333332183,58.897772,Green,Mid-Value,Dullest
#C45C6B,351.288189,46.98518337,52.438805,Red/Purple,Mid-Value,Medium
#973E3F,359.3019423,41.29111211,38.75944,Red/Purple,Dark,Medium
